OTU	barcode01.k2.0.1.gtdb.report	barcode02.k2.0.1.gtdb.report	barcode03.k2.0.1.gtdb.report	barcode04.k2.0.1.gtdb.report	barcode05.k2.0.1.gtdb.report	barcode06.k2.0.1.gtdb.report	barcode07.k2.0.1.gtdb.report	barcode08.k2.0.1.gtdb.report	barcode09.k2.0.1.gtdb.report	barcode10.k2.0.1.gtdb.report	barcode11.k2.0.1.gtdb.report	barcode12.k2.0.1.gtdb.report	barcode13.k2.0.1.gtdb.report	barcode14.k2.0.1.gtdb.report	barcode15.k2.0.1.gtdb.report	barcode16.k2.0.1.gtdb.report	barcode17.k2.0.1.gtdb.report	barcode18.k2.0.1.gtdb.report	barcode19.k2.0.1.gtdb.report	barcode20.k2.0.1.gtdb.report	barcode21.k2.0.1.gtdb.report	barcode22.k2.0.1.gtdb.report	barcode23.k2.0.1.gtdb.report	barcode24.k2.0.1.gtdb.report
OTU5524	4	2	5	0	2	3	3	7	2	1	3	0	0	1	10	4	2	1	3	2	2	1	0	0
OTU5525	5	6	22	4	18	17	8	27	14	21	108	1	8	17	16	26	6	12	5	16	7	14	0	0
OTU5526	16	10	44	3	32	31	21	60	23	75	111	32	23	35	47	64	32	42	21	60	28	42	1	0
OTU5527	4	0	3	0	8	4	4	7	2	10	12	2	0	1	4	3	1	3	1	7	1	5	0	0
OTU5528	2	1	2	2	1	6	1	4	5	6	7	1	8	1	4	3	5	3	2	3	4	2	0	0
OTU5529	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	2	0	1	1	0	1	0	0	0
OTU5530	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5531	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU5532	1	2	4	0	1	2	1	5	2	2	5	0	3	3	1	1	1	2	1	3	3	1	0	0
OTU5533	8	1	0	1	1	1	2	1	2	2	1	1	2	1	0	0	1	2	0	2	2	1	0	0
OTU5534	2	7	0	0	0	0	0	3	0	1	0	0	2	0	1	0	1	0	2	0	1	0	0	0
OTU5535	4	3	0	0	0	3	1	1	0	0	1	0	1	0	0	2	0	0	0	2	1	0	0	0
OTU5536	6	5	2	0	2	0	0	2	1	0	0	0	0	1	0	0	3	2	1	4	1	1	0	0
OTU5537	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU5538	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU5539	2	0	0	0	1	1	0	0	0	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0
OTU5540	2	0	1	1	1	2	1	5	0	0	5	0	1	1	2	3	3	1	0	1	1	2	0	0
OTU5541	5	1	1	2	1	2	1	0	0	3	0	0	0	0	1	2	1	7	1	3	1	1	0	0
OTU5542	1	0	2	0	0	1	0	4	1	4	6	0	0	0	2	1	1	1	1	1	0	1	0	0
OTU5543	1	1	9	1	4	10	4	5	3	11	9	3	2	3	4	10	3	10	0	5	6	7	0	0
OTU5544	1	1	1	0	1	1	0	0	0	0	2	0	0	1	1	0	0	0	3	1	0	0	0	0
OTU5545	8	1	18	0	11	25	11	25	16	25	58	6	14	9	21	23	11	26	10	15	9	19	0	0
OTU5546	10	12	65	4	14	25	15	28	14	50	26	18	11	16	29	72	15	57	8	23	10	24	0	1
OTU5547	1	0	2	0	1	1	2	1	3	3	3	2	0	1	1	1	0	3	0	0	0	4	0	0
OTU5548	1	1	6	1	3	2	2	2	3	6	5	0	2	3	0	10	4	6	2	2	2	2	0	0
OTU5549	6	6	28	5	16	22	12	38	12	30	52	11	9	22	18	29	8	21	6	21	12	14	0	1
OTU5550	2	1	29	1	15	25	8	27	46	20	62	7	13	10	20	23	4	18	5	24	10	17	0	0
OTU5551	2	0	4	0	5	2	0	4	2	2	3	2	0	2	5	5	1	7	0	2	0	4	0	0
OTU5552	1	0	1	0	3	0	0	2	1	4	2	0	0	0	4	2	0	1	0	1	1	3	0	0
OTU5553	2	1	4	0	1	2	2	3	0	4	5	1	2	3	1	2	1	4	1	3	2	6	0	0
OTU5554	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5555	1	0	2	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0
OTU5556	1	0	1	1	0	2	0	1	2	0	0	1	2	0	2	1	0	3	1	3	0	0	0	0
OTU5557	1	2	0	0	0	1	0	1	1	0	0	0	1	0	0	2	1	1	1	1	0	0	0	0
OTU5558	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5559	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5560	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5561	0	36638	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5562	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU5563	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU5564	0	4	1	1	4	64	0	4	72	4	4	17	3	3	17	5	0	4	8	4	12	1	0	0
OTU5565	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU5566	0	2	0	0	0	4	0	0	3	1	0	3	2	0	0	0	0	2	0	0	1	0	0	0
OTU5567	0	2	1	0	2	9	0	2	19	0	2	5	0	1	3	1	0	2	1	6	5	3	0	0
OTU5568	0	1	2	4	0	0	37	20	2	10	1	2	19	3	0	0	0	1	10	4	0	1	0	0
OTU5569	0	1	0	0	1	2	0	0	0	0	0	0	2	1	0	2	0	0	3	3	3	5	0	0
OTU5570	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5571	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU5572	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU5573	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU5574	0	1	3	0	0	7	0	1	12	1	1	3	2	0	1	0	0	1	0	1	2	1	0	0
OTU5575	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5576	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5577	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5578	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU5579	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU5580	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
OTU5581	0	1	0	0	2	3	0	1	10	1	0	2	0	1	2	0	1	1	0	1	6	0	0	0
OTU5582	0	1	1	0	0	2	0	1	1	0	0	6	0	1	2	0	0	0	0	0	1	1	0	0
OTU5583	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5584	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU5585	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5586	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU5587	0	1	0	0	1	5	0	2	0	0	0	0	1	2	10	0	0	1	0	0	1	0	0	0
OTU5588	0	1	0	0	1	4	0	0	7	0	2	18	1	0	1	0	0	0	1	0	0	0	0	0
OTU5589	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5590	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5591	0	1	0	0	2	6	1	2	11	1	1	1	0	1	1	0	0	5	0	3	0	1	0	0
OTU5592	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5593	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU5594	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
OTU5595	0	1	1	1	0	0	0	1	0	4	0	1	0	0	0	1	1	1	0	1	0	0	0	0
OTU5596	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5597	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0
OTU5598	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5599	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5600	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5601	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5602	0	3	1	0	5	0	1	4	1	0	0	2	0	0	2	3	0	3	0	3	0	2	0	0
OTU5603	0	6	1	0	3	3	0	0	1	1	7	0	1	0	1	3	0	0	4	1	1	1	0	0
OTU5604	0	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5605	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5606	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5607	0	2	1	0	1	6	1	3	3	0	2	7	4	0	1	0	0	2	0	3	2	3	0	0
OTU5608	0	1	0	1	0	2	6	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0
OTU5609	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	2	0	0	0	0
OTU5610	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5611	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5612	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5613	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU5614	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5615	0	1	2	0	0	7	0	1	0	0	0	4	2	0	1	0	0	3	1	0	0	0	0	0
OTU5616	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
OTU5617	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	6	1	40	0	0
OTU5618	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0
OTU5619	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0
OTU5620	0	2	2	1	4	2	6	11	2	85	381	10	131	29	16	49	39	33	82	54	1	6	0	1
OTU5621	0	2	2	1	1	67	0	3	2	1	0	28	0	3	9	1	0	17	1	4	1	5	0	0
OTU5622	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5623	0	1	0	0	1	12	0	0	4	1	1	1	0	0	3	0	0	124	2	0	0	0	0	0
OTU5624	0	1	0	0	0	7	0	0	3	0	0	2	2	0	0	0	0	2	1	0	0	0	0	0
OTU5625	0	2	0	1	1	3	0	2	1	0	1	2	2	2	6	3	1	2	3	3	3	2	0	0
OTU5626	0	2	1	2	0	2	1	1	4	2	3	2	3	0	0	4	0	0	3	3	1	3	0	0
OTU5627	0	1	2	0	1	22	4	7	15	0	0	4	0	0	8	1	0	7	2	2	9	1	0	0
OTU5628	0	1	3	0	2	63	0	3	31	3	0	68	2	2	10	2	0	69	4	12	4	3	0	0
OTU5629	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU5630	0	1	1	1	0	15	1	0	1	1	0	10	0	1	4	0	0	63	1	2	1	2	0	0
OTU5631	0	1	1	0	0	41	1	0	6	1	0	5	1	0	5	0	0	10	1	5	7	3	0	0
OTU5632	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5633	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
OTU5634	0	1	0	0	0	7	0	2	6	0	2	19	0	1	2	0	0	1	4	2	18	1	0	0
OTU5635	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU5636	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU5637	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
OTU5638	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	4	0	0
OTU5639	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU5640	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5641	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5642	0	1	4	2	0	6	1	2	1	0	0	1	2	0	0	0	0	2	1	3	1	3	0	0
OTU5643	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU5644	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
OTU5645	0	1	1	0	0	1	1	0	1	0	2	1	0	0	6	0	0	1	1	0	1	2	0	0
OTU5646	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5647	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU5648	0	1	1	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
OTU5649	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU5650	0	2	0	0	0	2	1	0	3	2	2	1	0	2	1	1	2	5	0	2	1	0	0	0
OTU5651	0	2	4	0	0	4	0	1	0	1	2	0	0	0	8	0	1	0	1	3	0	2	0	0
OTU5652	0	2	0	0	0	2	1	0	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0
OTU5653	0	1	1	1	1	3	1	1	1	0	3	0	2	0	0	0	1	3	2	1	1	1	0	0
OTU5654	0	2	0	1	1	0	0	1	0	0	2	2	0	1	0	2	0	0	1	2	1	1	0	0
OTU5655	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	0	0	1	0	0
OTU5656	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU5657	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	1	0	2	0	0	0
OTU5658	0	1	3	0	1	1	2	1	2	0	0	0	1	0	2	0	0	0	0	4	1	3	0	0
OTU5659	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0
OTU5660	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5661	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU5662	0	1	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU5663	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	0	0	2	3	2	4	3	0	0
OTU5664	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	3	0	0	0	0
OTU5665	0	1	0	0	0	66	0	1	10	0	1	53	0	2	27	0	2	4	5	3	22	4	0	0
OTU5666	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5667	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5668	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5669	0	1	0	1	0	1	0	1	2	0	1	3	0	0	3	3	0	0	0	0	2	0	0	0
OTU5670	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0
OTU5671	0	2	3	0	2	3	5	6	3	8	8	2	1	3	3	8	4	0	3	7	2	9	0	0
OTU5672	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5673	0	1	0	0	0	1	0	0	1	1	0	0	2	0	4	0	0	1	1	1	1	1	0	0
OTU5674	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU5675	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU5676	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5677	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU5678	0	1	1	0	1	15	0	0	6	2	0	4	2	1	15	0	0	5	0	1	6	0	0	0
OTU5679	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU5680	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	2	0	0
OTU5681	0	1	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	1	0	0	3	0	0	0
OTU5682	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU5683	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5684	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU5685	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5686	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5687	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5688	0	1	1	1	1	2	2	1	1	3	1	2	0	2	0	1	0	4	0	1	1	0	0	0
OTU5689	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
OTU5690	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
OTU5691	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU5692	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5693	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5694	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU5695	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5696	0	2	1	0	1	7	0	1	1	1	1	9	4	1	1	2	2	1	4	2	1	2	0	0
OTU5697	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5698	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU5699	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5700	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5701	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5702	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
OTU5703	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU5704	0	1	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0
OTU5705	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5706	0	1	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU5707	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU5708	0	2	4	0	2	1	1	4	1	2	7	1	1	2	4	5	1	4	0	11	4	10	0	0
OTU5709	0	1	2	0	0	0	1	2	0	0	0	0	3	1	0	0	2	2	1	2	1	0	0	0
OTU5710	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
OTU5711	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5712	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5713	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU5714	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU5715	0	2	2	1	0	1	1	1	1	1	4	2	0	0	0	0	0	0	0	0	0	2	0	0
OTU5716	0	1	2	0	0	0	1	1	3	2	1	0	0	0	1	1	1	1	1	1	1	0	0	0
OTU5717	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU5718	0	1	1	1	2	0	0	0	1	1	0	0	1	0	1	5	0	0	1	0	0	0	0	0
OTU5719	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU5720	0	1	1	0	1	26	0	0	11	0	0	9	0	1	4	0	0	22	0	0	2	0	1	0
OTU5721	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5722	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5723	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU5724	0	1	0	0	0	1	0	2	0	3	1	0	1	1	0	1	1	0	1	0	0	0	0	0
OTU5725	0	1	0	0	0	1	1	0	3	3	2	3	0	0	3	0	0	2	0	2	2	1	0	0
OTU5726	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU5727	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5728	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5729	0	1	0	0	0	4	0	0	2	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0
OTU5730	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU5731	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU5732	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5733	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU5734	0	1	0	0	0	1	1	3	0	2	0	2	0	0	3	1	0	8	0	2	1	4	0	0
OTU5735	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5736	0	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	2	0	0	0
OTU5737	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU5738	0	3	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0
OTU5739	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU5740	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5741	0	1	1	18	11	13	0	0	2	1	1	4	0	0	1	0	0	6	0	0	4	7	0	0
OTU5742	0	1	1	0	0	0	0	1	1	0	0	2	0	0	1	1	0	3	2	2	2	0	0	0
OTU5743	0	1	1	0	1	1	2	2	1	2	5	1	0	1	2	2	5	2	0	0	0	1	0	0
OTU5744	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU5745	0	1	0	0	0	1	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0
OTU5746	0	1	0	3	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	1	0	0	0
OTU5747	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU5748	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU5749	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU5750	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5751	0	1	1	0	1	1	0	4	3	2	0	1	0	2	0	0	0	2	0	1	1	1	0	0
OTU5752	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0
OTU5753	0	1	2	0	0	2	1	7	0	3	2	0	3	1	0	1	1	1	0	5	0	3	0	0
OTU5754	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU5755	0	1	1	0	1	2	0	2	1	3	2	1	5	2	1	0	1	0	1	0	0	0	0	0
OTU5756	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU5757	0	1	0	0	1	0	4	1	0	12	1	2	2	2	1	2	2	0	1	1	0	0	0	0
OTU5758	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5759	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
OTU5760	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU5761	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU5762	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5763	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5764	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5765	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5766	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5767	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU5768	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0
OTU5769	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU5770	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5771	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5772	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU5773	0	1	0	0	0	5	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0
