OTU	r	p	c	o	f	g	s
OTU1	root	NA	NA	NA	NA	NA	NA
OTU2	root	Pseudomonadota	NA	NA	NA	NA	NA
OTU3	root	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA
OTU4	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	NA	NA	NA
OTU5	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA
OTU6	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	NA
OTU7	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_taeniospiralis
OTU8	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp001428625
OTU9	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp001770905
OTU10	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_electricum
OTU11	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_aromaticivorans
OTU12	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_intermedia
OTU13	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp021729865
OTU14	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp010104355
OTU15	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp002001205
OTU16	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp003599455
OTU17	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp002127265
OTU18	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp005503365
OTU19	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp001713375
OTU20	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp018780385
OTU21	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp001770705
OTU22	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp018780075
OTU23	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp002840835
OTU24	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_pseudoflava
OTU25	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_flava
OTU26	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp002842215
OTU27	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp021154985
OTU28	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp018903185
OTU29	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp946482115
OTU30	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp030696525
OTU31	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp030656115
OTU32	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp018993155
OTU33	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_pseudoflava_A
OTU34	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp030682835
OTU35	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp022844385
OTU36	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp019264445
OTU37	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp016790705
OTU38	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp013823505
OTU39	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_sp011391495
OTU40	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_palleronii
OTU41	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga_crassostreae
OTU42	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	NA
OTU43	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp001426885
OTU44	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp001425165
OTU45	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp001425055
OTU46	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp001425705
OTU47	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp026712245
OTU48	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp003963005
OTU49	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp946480605
OTU50	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp019509985
OTU51	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp016790285
OTU52	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp021738245
OTU53	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp021353235
OTU54	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp009996515
OTU55	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp004211235
OTU56	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp021353265
OTU57	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pelomonas	Pelomonas_sp016195825
OTU58	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	NA
OTU59	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_sp019751755
OTU60	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_rivuli
OTU61	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_sp001427305
OTU62	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_sp001425005
OTU63	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_namucuonensis
OTU64	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_ginsengisoli
OTU65	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_sp001425265
OTU66	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_sp900113115
OTU67	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_sp001425045
OTU68	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudoduganella	Pseudoduganella_sp024437665
OTU69	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	NA
OTU70	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_facilis
OTU71	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_radicis
OTU72	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_delafieldii_B
OTU73	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp022763525
OTU74	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp000238595
OTU75	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp004210805
OTU76	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_delafieldii
OTU77	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp028680575
OTU78	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp003231145
OTU79	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp003060895
OTU80	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp001464865
OTU81	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp000276605
OTU82	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_radicis_A
OTU83	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_kalamii
OTU84	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_temperans
OTU85	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp027492855
OTU86	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp019219095
OTU87	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp018828125
OTU88	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp018780365
OTU89	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp003058055
OTU90	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax_sp002176815
OTU91	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	NA
OTU92	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp030695945
OTU93	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp029237735
OTU94	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp021323335
OTU95	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp019449555
OTU96	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp003797765
OTU97	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sedimenti
OTU98	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp001044395
OTU99	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp004144865
OTU100	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp016191525
OTU101	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp012274225
OTU102	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_albus
OTU103	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp016213325
OTU104	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_soli
OTU105	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_tataouinensis_A
OTU106	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp027484575
OTU107	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_sp025361305
OTU108	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ramlibacter	Ramlibacter_lithotrophicus
OTU109	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	NA
OTU110	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp001425785
OTU111	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp018780185
OTU112	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp900142965
OTU113	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp014380155
OTU114	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp001425825
OTU115	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp024700055
OTU116	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp012275445
OTU117	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_gummiphilus
OTU118	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp019635355
OTU119	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhizobacter	Rhizobacter_sp014379885
OTU120	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	NA
OTU121	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	Aquabacterium_A_terrae
OTU122	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	Aquabacterium_A_sp946480465
OTU123	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	Aquabacterium_A_sp001770815
OTU124	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	Aquabacterium_A_pictum_A
OTU125	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	Aquabacterium_A_sp016213205
OTU126	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	Aquabacterium_A_sp030654555
OTU127	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Aquabacterium_A	Aquabacterium_A_sp016721465
OTU128	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Inhella	NA
OTU129	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Inhella	Inhella_proteolytica
OTU130	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Inhella	Inhella_sp017302655
OTU131	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Inhella	Inhella_inkyongensis
OTU132	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Inhella	Inhella_crocodyli
OTU133	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Inhella	Inhella_gelatinilytica
OTU134	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	NA
OTU135	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_sp024703915
OTU136	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_agrisoli
OTU137	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_sp946479255
OTU138	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_sp020176695
OTU139	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_sp015101885
OTU140	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_atriviolacea
OTU141	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_yuzhufengensis
OTU142	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_sp946479705
OTU143	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_sp019443445
OTU144	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_sp015277795
OTU145	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_pinisoli
OTU146	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_glaciei
OTU147	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	Telluria_cavernae
OTU148	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	NA
OTU149	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp003014875
OTU150	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp900101545
OTU151	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp001541225
OTU152	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_paradoxus_E
OTU153	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp030316845
OTU154	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_paradoxus_J
OTU155	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp901827175
OTU156	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp901827155
OTU157	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp900112425
OTU158	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp900099805
OTU159	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp030317105
OTU160	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp030316855
OTU161	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp030316825
OTU162	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp030316765
OTU163	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp024372625
OTU164	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_sp003984645
OTU165	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_paradoxus_I
OTU166	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax_beijingensis_A
OTU167	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	NA
OTU168	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_sp000170915
OTU169	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_sp902506325
OTU170	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_sp029087225
OTU171	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_alexandrii
OTU172	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_sp018812945
OTU173	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_sp021299735
OTU174	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter_sp002954425
OTU175	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	NA
OTU176	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp030653505
OTU177	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp030653385
OTU178	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp016719535
OTU179	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp947453725
OTU180	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp026932235
OTU181	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp022843905
OTU182	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp021300575
OTU183	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp019635315
OTU184	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp018780805
OTU185	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp903938815
OTU186	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp030680415
OTU187	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp022842595
OTU188	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp021298085
OTU189	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp016790425
OTU190	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp016709385
OTU191	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp016707445
OTU192	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp016704535
OTU193	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp016223165
OTU194	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax_sp013822265
OTU195	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	NA
OTU196	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp000013865
OTU197	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp024703855
OTU198	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp002381615
OTU199	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp016185115
OTU200	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp030650875
OTU201	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp029945895
OTU202	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp029945685
OTU203	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_sp002001015
OTU204	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polaromonas	Polaromonas_jejuensis
OTU205	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	NA
OTU206	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_ferrireducens
OTU207	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp030646845
OTU208	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp002842265
OTU209	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp028689305
OTU210	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp023700745
OTU211	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp020594515
OTU212	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp013791765
OTU213	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp011391545
OTU214	root	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax_sp003347515
