File.Name,Region.of.Interest,Median.Number.of.Roots,Maximum.Number.of.Roots,Number.of.Root.Tips,Total.Root.Length.mm,Depth.mm,Maximum.Width.mm,Width-to-Depth.Ratio,Network.Area.mm2,Convex.Area.mm2,Solidity,Lower.Root.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Holes,Average.Hole.Size.mm2,Computation.Time.s,Average.Root.Orientation.deg,Shallow.Angle.Frequency,Medium.Angle.Frequency,Steep.Angle.Frequency,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3
D17_B4_BP2S1_seg.png,roi_1,1,4,1,39.13831,33.274,10.0965,0.303435,12.699571,116.044627,0.109437,11.849775,0.315368,0.3175,1.085088,84.770576,3.674098,39.446712,2,0.001008,0.52,72.581095,0,0.261708,0.738292,38.966408,0.171901,12.374232,0.182047,38.874796,0.571916,3.522627,0.151471
D17_B4_BP2S2_seg.png,roi_1,2,8,15,95.558419,41.7195,10.4775,0.251142,21.125966,136.902952,0.154313,19.679396,0.25289,0.228953,1.10898,187.123268,6.446136,75.817261,10,0.007863,0.418,72.387948,0.040205,0.099781,0.860015,95.251814,0.306605,23.809541,0.323842,74.79988,1.01738,6.177242,0.268893
D17_B4_KP1S1_seg.png,roi_1,1,3,4,43.828511,27.71775,14.6685,0.52921,9.644134,125.441785,0.076881,8.992926,0.242613,0.254,0.724011,87.857095,2.519458,33.800619,4,0.013861,0.383,60.662238,0.188322,0.183388,0.628289,43.828511,0,10.759071,0,33.800619,0,2.519458,0
D17_B4_KP1S2_seg.png,roi_1,1,6,9,64.357836,34.6075,11.3665,0.32844,12.855821,159.683652,0.080508,11.079615,0.21627,0.1905,0.638167,128.162772,2.944841,44.07958,17,0.005574,0.448,68.628904,0.088188,0.122929,0.788883,64.357836,0,14.030966,0,44.07958,0,2.944841,0
D17_B4_MP1S1_seg.png,roi_1,1,5,13,71.1798,38.76675,8.92175,0.230139,16.438475,123.562757,0.133037,14.815495,0.270553,0.254,1.017982,138.825391,5.676664,60.489907,12,0.008905,0.467,69.858353,0.075416,0.078355,0.846229,71.039649,0.140151,19.113377,0.141158,60.046445,0.443462,5.564998,0.111666
D17_B4_MP2S1_seg.png,roi_1,2,6,12,101.56204,40.132,13.87475,0.345728,30.862842,202.548486,0.152373,26.854785,0.367871,0.3175,1.875133,191.674706,17.650806,117.186489,15,0.306518,0.426,69.666003,0.081278,0.13338,0.785342,95.073371,6.488669,28.569344,8.732274,89.753243,27.433246,8.151126,9.49968
D17_B4_MP2S2_seg.png,roi_1,1,5,13,99.366229,38.862,12.6365,0.325163,23.437453,215.566605,0.108725,21.923343,0.275297,0.254,1.509378,191.768474,8.788077,86.029096,17,0.180087,0.463,70.439928,0.044191,0.215253,0.740556,97.822309,1.54392,25.432707,1.951204,79.899207,6.129889,6.822535,1.965542
D17_B4_TP1S1_seg.png,roi_1,1,6,6,57.477206,40.513,4.15925,0.102665,12.839692,95.863216,0.133938,12.131024,0.242293,0.228953,1.004023,114.273736,3.535241,44.328623,6,0.003192,0.387,78.345992,0.041642,0.033431,0.924927,57.381956,0.09525,14.013343,0.096896,44.024216,0.304407,3.457818,0.077423
D17_B4_TP1S2_seg.png,roi_1,1,5,4,75.48294,41.021,15.494,0.377709,15.34876,267.284244,0.057425,14.421342,0.225104,0.1905,1.004023,145.993507,3.990483,53.96722,12,0.023689,0.372,73.40295,0.045914,0.136823,0.817264,75.41944,0.0635,17.114544,0.063755,53.766926,0.200294,3.940208,0.050275
D17_B4_TP2S1_seg.png,roi_1,2,6,8,88.344721,38.06825,7.84225,0.206005,16.986861,133.491669,0.12725,16.275169,0.216901,0.1905,0.743248,172.491833,3.778321,59.889835,8,0.089592,0.398,74.870389,0.038763,0.101018,0.860219,88.344721,0,19.063526,0,59.889835,0,3.778321,0
D17_B4_TP2S2_seg.png,roi_1,1,4,3,51.61622,41.43375,6.5405,0.157854,13.229812,91.151027,0.145142,12.533241,0.26567,0.254,1.047269,105.552447,3.476847,42.983955,4,0.009577,0.412,78.824605,0.013807,0.049967,0.936226,51.335918,0.280303,13.391864,0.290354,42.071783,0.912173,3.24061,0.236238
D17_B4_TP3S1_seg.png,roi_1,1,4,3,42.00593,32.22625,6.44525,0.2,12.208645,69.25591,0.176283,11.488888,0.302446,0.283981,1.0795,87.596807,3.48149,40.046291,0,NA,0.314,77.109644,0.016625,0.012469,0.970906,41.699325,0.306605,12.426983,0.320147,39.04052,1.005771,3.218812,0.262678
D17_B4_TP3S2_seg.png,roi_1,1,4,11,112.118928,61.087,4.953,0.081081,20.945523,157.919039,0.132635,20.621935,0.210669,0.1905,0.599058,216.579111,4.656122,73.892122,15,0.066398,0.378,78.664454,0.01609,0.048877,0.935033,112.118928,0,23.520593,0,73.892122,0,4.656122,0
D17_B4_TP4S1_seg.png,roi_1,1,4,8,63.775054,39.90975,8.128,0.20366,15.214687,149.277927,0.101922,13.953601,0.259144,0.254,1.350029,129.138931,4.867502,52.320196,3,0.353158,0.403,74.448068,0.02309,0.038483,0.938428,62.739134,1.03592,15.426965,1.227071,48.465241,3.854956,3.718316,1.149185
D17_B4_TP4S2_seg.png,roi_1,1,8,6,64.35558,38.735,7.90575,0.204098,14.83364,123.082415,0.120518,14.218722,0.261168,0.254,0.909182,125.253988,4.162342,52.67562,13,0.004963,0.419,71.559589,0.044205,0.069542,0.886253,64.35558,0,16.767171,0,52.67562,0,4.162342,0
D17_B4_TP6S2_seg.png,roi_1,1,5,1,53.625015,38.481,20.1295,0.523102,14.691503,224.672434,0.065391,13.343723,0.290997,0.283981,0.585441,109.447001,3.771304,49.245199,2,0.055443,0.415,63.010031,0.12238,0.150101,0.727519,53.625015,0,15.675234,0,49.245199,0,3.771304,0
